"ID" "RNA.ext.tray" "timeindex"
"1" 1 "6" 9
"2" 2 "3c" 5
"3" 3 "3d" 6
"4" 4 "3c" 5
"5" 5 "5" 8
"6" 6 "2" 2
"7" 7 "last" 13
"8" 8 "3d" 6
"9" 9 "3d" 6
"10" 10 "8" 11
"11" 11 "5" 8
"12" 12 "3a" 3
"13" 13 "1" 1
"14" 14 "7" 10
"15" 15 "4" 7
"16" 16 "3d" 6
"17" 17 "1" 1
"18" 18 "9" 12
"19" 19 "4" 7
"20" 20 "2" 2
"21" 21 "8" 11
"22" 23 "2" 2
"23" 24 "9" 12
"24" 25 "3d" 6
"25" 26 "1" 1
"26" 27 "1" 1
"27" 28 "7" 10
"28" 29 "2" 2
"29" 30 "2" 2
"30" 31 "4" 7
"31" 32 "7" 10
"32" 33 "1" 1
"33" 34 "7" 10
"34" 35 "5" 8
"35" 36 "8" 11
"36" 37 "3c" 5
"37" 38 "3a" 3
"38" 39 "9" 12
"39" 40 "4" 7
"40" 41 "3b" 4
"41" 42 "4" 7
"42" 43 "7" 10
"43" 44 "5" 8
"44" 45 "3d" 6
"45" 46 "8" 11
"46" 47 "4" 7
"47" 48 "7" 10
"48" 49 "9" 12
"49" 50 "2" 2
"50" 51 "4" 7
"51" 52 "3a" 3
"52" 53 "last" 13
"53" 54 "3d" 6
"54" 55 "3d" 6
"55" 56 "4" 7
"56" 57 "7" 10
"57" 58 "5" 8
"58" 59 "1" 1
"59" 60 "2" 2
"60" 61 "3b" 4
"61" 62 "2" 2
"62" 63 "1" 1
"63" 64 "7" 10
"64" 65 "9" 12
"65" 66 "last" 13
"66" 67 "4" 7
"67" 68 "3a" 3
"68" 70 "3a" 3
"69" 71 "3c" 5
"70" 72 "2" 2
"71" 73 "2" 2
"72" 74 "5" 8
"73" 75 "1" 1
"74" 76 "5" 8
"75" 77 "9" 12
"76" 78 "last" 13
"77" 79 "6" 9
"78" 80 "8" 11
"79" 81 "3d" 6
"80" 82 "1" 1
"81" 83 "3d" 6
"82" 84 "2" 2
"83" 85 "1" 1
"84" 86 "last" 13
"85" 87 "5" 8
"86" 88 "1" 1
"87" 89 "last" 13
"88" 90 "5" 8
"89" 91 "5" 8
"90" 92 "6" 9
"91" 93 "3b" 4
"92" 94 "9" 12
"93" 95 "" NA
"94" 96 "1" 1
"95" 97 "3a" 3
"96" 98 "8" 11
"97" 99 "3d" 6
"98" 100 "9" 12
"99" 101 "3a" 3
"100" 102 "7" 10
"101" 103 "3b" 4
"102" 104 "3b" 4
"103" 105 "1" 1
"104" 106 "5" 8
"105" 107 "7" 10
"106" 108 "8" 11
"107" 109 "3d" 6
"108" 110 "4" 7
"109" 111 "2" 2
"110" 112 "3a" 3
"111" 113 "9" 12
"112" 114 "5" 8
"113" 115 "4" 7
"114" 116 "3c" 5
"115" 117 "last" 13
"116" 118 "3d" 6
"117" 119 "3c" 5
"118" 120 "3a" 3
"119" 121 "last" 13
"120" 122 "9" 12
"121" 123 "5" 8
"122" 124 "3a" 3
"123" 125 "2" 2
"124" 126 "5" 8
"125" 127 "9" 12
"126" 128 "1" 1
"127" 129 "9" 12
"128" 130 "3c" 5
"129" 131 "5" 8
"130" 132 "7" 10
"131" 133 "3c" 5
"132" 134 "3b" 4
"133" 135 "3a" 3
"134" 136 "6" 9
"135" 137 "7" 10
"136" 138 "4" 7
"137" 139 "3d" 6
"138" 140 "4" 7
"139" 141 "6" 9
"140" 142 "3d" 6
"141" 143 "3d" 6
"142" 144 "3c" 5
"143" 145 "3d" 6
"144" 146 "2" 2
"145" 147 "3c" 5
"146" 148 "3c" 5
"147" 149 "8" 11
"148" 150 "3c" 5
"149" 151 "4" 7
"150" 152 "8" 11
"151" 153 "3a" 3
"152" 154 "7" 10
"153" 155 "3a" 3
"154" 156 "3c" 5
"155" 157 "8" 11
"156" 158 "7" 10
"157" 159 "8" 11
"158" 160 "1" 1
"159" 161 "3c" 5
"160" 162 "9" 12
"161" 163 "3c" 5
"162" 164 "2" 2
"163" 165 "3a" 3
"164" 166 "9" 12
"165" 167 "8" 11
"166" 168 "3a" 3
"167" 169 "2" 2
"168" 170 "5" 8
"169" 171 "5" 8
"170" 172 "8" 11
"171" 173 "3b" 4
"172" 174 "8" 11
"173" 175 "8" 11
"174" 176 "3a" 3
"175" 177 "3c" 5
"176" 178 "1" 1
"177" 179 "2" 2
"178" 180 "5" 8
"179" 181 "4" 7
"180" 182 "6" 9
"181" 183 "8" 11
"182" 184 "8" 11
"183" 185 "6" 9
"184" 186 "4" 7
"185" 187 "7" 10
"186" 188 "4" 7
"187" 189 "9" 12
"188" 190 "2" 2
"189" 191 "7" 10
"190" 192 "3b" 4
"191" 193 "3b" 4
"192" 194 "3d" 6
"193" 195 "7" 10
"194" 196 "4" 7
"195" 197 "1" 1
"196" 198 "1" 1
"197" 199 "9" 12
"198" 200 "3a" 3
"199" 201 "8" 11
"200" 202 "9" 12
"201" 203 "3c" 5
"202" 204 "6" 9
"203" 206 "3b" 4
"204" 207 "3c" 5
"205" 208 "3a" 3
"206" 209 "9" 12
