FID	IID	bolt	flower	C	N	CN	di	asdi	diasdi	ped_order
ESP	10	36	38	35.265	1.501	23.49433711	5.476674501	2.828388885	1.936323017	1
ESP	100	42	47	36.104	1.752	20.60730594	NA	NA	NA	2
ESP	101	41	47	36.619	1.549	23.64041317	NA	NA	NA	3
ESP	102_long	40	44	36.582	1.64	22.30609756	2.494844974	1.789526107	1.394137232	4
ESP	103	36	40	35.798	2.405	14.88482328	3.927473216	2.742729887	1.431957713	5
ESP	105_clipinplace_sorted	36	42	37.277	2.1	17.75095238	4.941394907	2.479815773	1.99264597	6
ESP	106s_clipped	39	43	37.453	1.583	23.65950726	3.581723661	1.946974681	1.839635459	7
ESP	107	42	48	37.176	1.414	26.29137199	NA	NA	NA	8
ESP	108_3	36	40	36.857	1.532	24.05809399	5.308519364	2.064200152	2.571707671	9
ESP	109	42	48	37.788	1.937	19.50851833	2.445409279	2.158277287	1.133037582	10
ESP	110	37	42	37.716	2.104	17.92585551	3.891014654	2.198278476	1.770028091	11
ESP	111	35	39	34.661	1.952	17.75665984	4.390713227	2.29563553	1.912635159	12
ESP	112	36	40	36.949	1.442	25.62343967	8.156070425	1.943898863	4.195727762	13
ESP	113	35	39	36.624	1.769	20.70322216	4.808307061	1.855173941	2.591836246	14
ESP	114_long	35	38	35.89	1.303	27.54412893	5.301771462	2.635103309	2.011978598	15
ESP	115	36	42	36.713	1.933	18.99275737	6.824701284	2.710455783	2.51791648	16
ESP	116s_clipped	44	50	36.823	1.648	22.3440534	3.111632526	2.148677857	1.448161489	17
ESP	117s_clipped	35	39	34.742	1.783	19.48513741	5.012810107	2.017642092	2.484489259	18
ESP	118	48	55	36.019	2.287	15.74945343	NA	NA	NA	19
ESP	119_long	42	48	38.554	1.881	20.49654439	4.186063811	2.050815588	2.041170272	20
ESP	11s_clipped	46	51	36.463	1.622	22.48027127	5.795408947	2.37448435	2.440702103	21
ESP	120_clipped.bam	35	40	35.513	1.69	21.01360947	5.978502397	2.796760488	2.137652624	22
ESP	121	36	42	37.459	1.699	22.0476751	3.161023974	2.140209847	1.476969176	23
ESP	122	35	40	36.486	2.049	17.80673499	4.369409598	1.984980927	2.201235054	24
ESP	123	37	41	37.581	1.557	24.13680154	7.076566096	2.173462133	3.255895738	25
ESP	124_3	37	44	37.441	1.802	20.77746948	6.928108576	2.09231989	3.311209059	26
ESP	125_clipped.bam	35	40	35.847	1.883	19.03717472	5.494362478	2.539487466	2.16357141	27
ESP	126s_clipped	35	38	36.371	1.506	24.15073041	6.018271005	2.297984063	2.618935049	28
ESP	128	41	47	NA	NA	NA	5.224840317	2.064140059	2.531243117	29
ESP	129s_clipped	41	47	38.439	1.563	24.59309021	4.107003691	1.659476868	2.474878542	30
ESP	13	41	47	36.687	1.847	19.86302112	6.513934161	2.737084337	2.37988069	31
ESP	130	35	38	38.679	1.602	24.14419476	3.460127916	1.711501425	2.021691519	32
ESP	131s_clipped	42	47	35.205	1.679	20.967838	2.98578111	2.463479803	1.212017694	33
ESP	132	39	44	36.292	1.332	27.24624625	4.457146619	2.301823313	1.936354799	34
ESP	133	39	44	38.04	2.142	17.75910364	NA	NA	NA	35
ESP	135	35	40	36.429	2.606	13.97889486	2.899905485	2.634940794	1.100558119	36
ESP	136	33	36	35.311	1.691	20.88172679	NA	NA	NA	37
ESP	137s_clipped	41	46	35.419	2.886	12.27269577	NA	NA	NA	38
